bookingId,farmerName,farmerMobile,equipmentName,days,totalAmount,ownerName,ownerMobile,status
BKCFED1ABC,pratiksha patil,9834756456,Sprayer SP-3,4,2800.0,Rajendra Kale,9001122334,
CONFIRMED
BKCADF9690,pratik,9876548990,Mahindra Tractor 575,1,2500.0,Ramesh Patil,9876543210,CONFIRMED
BKB782D567,pramod patil,9834759322,Mahindra Tractor 575,2,5000.0,Ramesh Patil,9876543210,CONFIRMED
BK7470CD2C,prathamesh,5678906754,Power Tiller PT-9,5,6000.0,Suresh Pawar,9988776655,CONFIRMED
BK0B4DD8C4,prathamesh,5678906754,Mahindra Tractor 575,6,15000.0,Ramesh Patil,9876543210,CONFIRMED
BK146F85E3,prathamesh,5678906754,Mahindra Tractor 575,2,5000.0,Ramesh Patil,9876543210,CONFIRMED
BK3C20985C,prathamesh,5678906754,Mahindra Tractor 575,6,15000.0,Ramesh Patil,9876543210,CONFIRMED
BKE2F57433,prathamesh,5678906754,Mahindra Tractor 575,4,10000.0,Ramesh Patil,9876543210,CONFIRMED
BK905785C4,prathamesh,5678906754,Mahindra Tractor 575,3,7500.0,Ramesh Patil,9876543210,CONFIRMED
BK60415D14,pramod,9834759322,Mahindra Tractor 575,4,10000.0,Ramesh Patil,9876543210,CONFIRMED
BKFBFC49B4,Pramod Patil,9834759322,Mahindra Tractor 575,3,7500.0,Ramesh Patil,9876543210,CONFIRMED
BK21FF2948,pratik,6789097654,Mahindra Tractor 575,4,10000.0,Ramesh Patil,9876543210,CONFIRMED
BK72909140,pratik,6789097654,Mahindra Tractor 575,2,5000.0,Ramesh Patil,9876543210,CONFIRMED
